Day,Hour,Livechat,PublishedCount,SuppliersInvitedCount,DeadlineCount,SupplierDeadlineCount,CombinedRequests,CombinedSupplierAction,NonRegMail,NewUserMail
4,8,36,49,178,23,62,72,240,60,2061
4,9,44,95,232,41,93,136,325,88,2271
4,10,44,78,182,51,83,129,265,54,2391
4,11,35,61,105,79,223,140,328,53,1717
4,12,34,36,67,29,51,65,118,87,6796
4,13,27,45,89,72,136,117,225,63,2667
4,14,26,46,86,16,30,62,116,67,2294
4,15,27,58,345,38,71,96,416,60,2447
4,16,12,24,80,96,236,120,316,18,1114
4,17,2,7,39,18,89,25,128,13,484
4,18,0,3,8,12,18,15,26,6,98
4,19,0,3,9,1,3,4,12,4,94
4,20,0,7,22,0,0,7,22,6,127
4,21,1,3,18,3,4,6,22,4,98
4,22,0,2,3,4,12,6,15,4,38
4,23,2,1,3,2,2,3,5,5,83
5,0,0,4,5,2,2,6,7,9,178
5,1,1,5,26,6,6,11,32,10,285
5,2,2,10,22,2,3,12,25,9,231
5,3,1,28,68,8,8,36,76,15,237
5,4,1,40,78,55,81,95,159,11,322
5,5,3,29,36,21,23,50,59,11,213
5,6,10,34,36,25,30,59,66,23,358
5,7,14,22,70,11,15,33,85,38,711
5,8,42,51,124,27,44,78,168,65,1714
5,9,54,62,141,33,50,95,191,78,16755
5,10,59,50,374,37,59,87,433,72,2330
5,11,43,55,120,64,133,119,253,39,1898
5,12,32,36,45,26,38,62,83,51,6579
5,13,28,41,166,480,533,521,699,60,2446
5,14,24,30,82,22,68,52,150,62,2207
5,15,29,30,67,41,70,71,137,37,1891
5,16,16,21,93,68,159,89,252,16,1070
5,17,1,4,5,16,38,20,43,6,357
5,18,0,2,15,2,7,4,22,4,146
5,19,0,2,5,3,4,5,9,7,102
5,20,0,3,15,2,5,5,20,6,64
5,21,1,1,2,4,4,5,6,1,71
5,22,0,6,27,2,3,8,30,2,99
5,23,0,3,4,2,2,5,6,7,54
6,0,1,3,3,1,1,4,4,6,64
6,1,1,7,30,14,17,21,47,7,148
6,2,0,10,21,1,1,11,22,6,178
6,3,0,10,22,6,6,16,28,10,181
6,4,0,8,44,67,253,75,297,9,205
6,5,0,5,13,1,3,6,16,8,122
6,6,7,13,14,20,27,33,41,11,518
6,7,10,16,59,4,8,20,67,32,1383
6,8,20,43,115,18,40,61,155,61,2270
6,9,37,52,101,38,93,90,194,54,2896
6,10,50,38,75,25,36,63,111,43,2905
6,11,25,32,79,105,417,137,496,47,2066
6,12,30,19,54,43,123,62,177,66,6216
6,13,22,39,131,41,137,80,268,47,2434
6,14,47,29,103,26,117,55,220,50,2618
6,15,30,29,74,43,143,72,217,55,2080
6,16,11,23,106,91,331,114,437,13,553
6,17,1,5,10,26,71,31,81,2,139
6,18,0,3,7,0,0,3,7,4,124
6,19,0,6,20,0,0,6,20,4,112
6,20,0,2,3,0,0,2,3,2,38
6,21,0,0,0,3,5,3,5,1,23
6,22,1,0,0,14,53,14,53,1,16
6,23,0,0,0,1,3,1,3,0,8
7,0,1,0,0,14,14,14,14,1,10
7,1,0,0,0,7,9,7,9,1,20
7,2,0,0,0,0,0,0,0,1,4
7,3,1,0,0,0,0,0,0,2,3
7,4,0,0,0,2,2,2,2,0,3
7,5,0,0,0,0,0,0,0,2,24
7,6,0,2,4,0,0,2,4,2,14
7,7,0,0,0,0,0,0,0,2,4
7,8,0,0,0,1,1,1,1,5,182
7,9,1,0,0,0,0,0,0,2,39
7,10,0,0,0,0,0,0,0,6,184
7,11,0,0,0,0,0,0,0,3,68
7,12,0,0,0,1,0,1,0,2,3317
7,13,0,0,0,0,0,0,0,3,5
7,14,0,0,0,0,0,0,0,1,8
7,15,0,0,0,0,0,0,0,0,55
7,16,0,0,0,0,0,0,0,6,9
7,17,0,0,0,1,1,1,1,1,12
7,18,0,2,12,0,0,2,12,0,122
7,19,0,0,0,0,0,0,0,2,4
7,20,0,0,0,0,0,0,0,1,2
7,21,0,0,0,0,0,0,0,0,19
7,22,0,0,0,0,0,0,0,3,18
7,23,0,0,0,0,0,0,0,0,53
